ticker,sector
PCAR,industrials
PKG,materials
PH,industrials
PAYX,information_technology
PYPL,information_technology
PNR,industrials
PBCT,financials
PEP,consumer_staples
PKI,health_care
PRGO,health_care
PFE,health_care
PCG,utilities
PM,consumer_staples
PSX,energy
PNW,utilities
PXD,energy
PNC,financials
RL,consumer_discretionary
PPG,materials
PPL,utilities
PX,materials
PFG,financials
PG,consumer_staples
PGR,financials
PLD,real_estate
PRU,financials
PEG,utilities
PSA,real_estate
PHM,consumer_discretionary
PVH,consumer_discretionary
QRVO,information_technology
PWR,industrials
QCOM,information_technology
DGX,health_care
RRC,energy
RJF,financials
RTN,industrials
O,real_estate
RHT,information_technology
REG,real_estate
REGN,health_care
RF,financials
RSG,industrials
RMD,health_care
RHI,industrials
ROK,industrials
COL,industrials
ROP,industrials
ROST,consumer_discretionary
RCL,consumer_discretionary
CRM,information_technology
SBAC,real_estate
SCG,utilities
SLB,energy
STX,information_technology
SEE,materials
SRE,utilities
SHW,materials
SPG,real_estate
SWKS,information_technology
SLG,real_estate
SNA,consumer_discretionary
SO,utilities
LUV,industrials
SPGI,financials
SWK,consumer_discretionary
SBUX,consumer_discretionary
STT,financials
SRCL,industrials
SYK,health_care
STI,financials
SIVB,financials
SYMC,information_technology
SYF,financials
SNPS,information_technology
SYY,consumer_staples
TROW,financials
TTWO,information_technology
TPR,consumer_discretionary
TGT,consumer_discretionary
TEL,information_technology
FTI,energy
TXN,information_technology
TXT,industrials
TMO,health_care
TIF,consumer_discretionary
TWX,consumer_discretionary
TJX,consumer_discretionary
TMK,financials
TSS,information_technology
TSCO,consumer_discretionary
TDG,industrials
TRV,financials
TRIP,consumer_discretionary
FOXA,consumer_discretionary
FOX,consumer_discretionary
TSN,consumer_staples
UDR,real_estate
ULTA,consumer_discretionary
USB,financials
UAA,consumer_discretionary
UA,consumer_discretionary
UNP,industrials
UAL,industrials
UNH,health_care
UPS,industrials
URI,industrials
UTX,industrials
UHS,health_care
UNM,financials
VFC,consumer_discretionary
VLO,energy
VAR,health_care
VTR,real_estate
VRSN,information_technology
VRSK,industrials
VZ,telecommunication_services
VRTX,health_care
VIAB,consumer_discretionary
V,information_technology
VNO,real_estate
VMC,materials
WMT,consumer_staples
WBA,consumer_staples
DIS,consumer_discretionary
WM,industrials
WAT,health_care
WEC,utilities
WFC,financials
WELL,real_estate
WDC,information_technology
WU,information_technology
WRK,materials
WY,real_estate
WHR,consumer_discretionary
WMB,energy
WLTW,financials
WYN,consumer_discretionary
WYNN,consumer_discretionary
XEL,utilities
XRX,information_technology
XLNX,information_technology
XL,financials
XYL,industrials
YUM,consumer_discretionary
ZBH,health_care
ZION,financials
ZTS,health_care
